id,name,reading,description,note,from_calendar_era,from_year,from_is_approximate,to_calendar_era,to_year,to_is_approximate
103,東魏,とうぎ,北魏分裂後の国家,,CE,534,0,CE,550,0
100,梁,りょう,南朝王朝,,CE,502,0,CE,557,0
118,楚,そ,湖南地域の国家,,CE,907,0,CE,951,0
15,正統カリフ国家,,初期イスラム国家,,CE,632,0,CE,661,0
32,江戸幕府,,徳川政権,,CE,1603,0,CE,1868,0
131,清帝国,しん,満州族王朝,,CE,1644,0,CE,1912,0
92,漢帝国,かん,前漢・後漢を含む大帝国,途中に新が割り込む,BCE,202,0,CE,220,0
20,神聖ローマ帝国,,帝国連合体,,CE,962,0,CE,1806,0
91,秦帝国,しん,中国初の統一帝国,,BCE,221,0,BCE,206,0
53,突厥可汗国,,テュルク系国家,,CE,552,0,CE,744,0
122,荊南,けいなん,南平とも呼ばれる,,CE,924,0,CE,963,0
94,蜀漢,しょくかん,三国時代の蜀の国家,,CE,221,0,CE,263,0
127,西夏,せいか,タングートの国家,,CE,1038,0,CE,1227,0
96,西晋,せいしん,中国再統一を果たした王朝,,CE,265,0,CE,316,0
104,西魏,せいぎ,北魏分裂後の国家,,CE,535,0,CE,557,0
126,遼,りょう,契丹による国家,,CE,907,0,CE,1125,0
128,金,きん,女真の国家,,CE,1115,0,CE,1234,0
30,鎌倉幕府,,武家政権,,CE,1185,0,CE,1333,0
117,閩,びん,福建の国家,,CE,909,0,CE,945,0
101,陳,ちん,南朝最後の王朝,,CE,557,0,CE,589,0
107,隋帝国,ずい,中国再統一を達成,,CE,581,0,CE,618,0
93,魏,ぎ,三国時代の北方国家,,CE,220,0,CE,265,0
